
Sync-Point 0, TimeBin=0, Time: 0.01, Redshift: 99, Systemstep: 0, Dloga: 0, Nsync-grv:      10648, Nsync-hyd:          0
Sync-Point 142, TimeBin=19, Time: 0.0189384, Redshift: 51.8027, Systemstep: 8.49793e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 143, TimeBin=19, Time: 0.0190238, Redshift: 51.5658, Systemstep: 8.53624e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 144, TimeBin=19, Time: 0.0191095, Redshift: 51.3299, Systemstep: 8.57471e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 145, TimeBin=19, Time: 0.0191957, Redshift: 51.0951, Systemstep: 8.61336e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 146, TimeBin=19, Time: 0.0192822, Redshift: 50.8613, Systemstep: 8.65218e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 147, TimeBin=19, Time: 0.0193691, Redshift: 50.6286, Systemstep: 8.69118e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 148, TimeBin=19, Time: 0.0194564, Redshift: 50.397, Systemstep: 8.73036e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 149, TimeBin=19, Time: 0.0195441, Redshift: 50.1663, Systemstep: 8.76971e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 150, TimeBin=19, Time: 0.0196322, Redshift: 49.9368, Systemstep: 8.80924e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

